Component,Category,File,Type,Props,Emits,Slots,Variants,Accessibility,LoadingState,ErrorState,Responsive,DarkMode,DuplicateGroup,ImportedBy,ImportedByCount,USED,DeadOrUsed,Evidence
components/common/skeleton/FormSkeleton.vue,common/skeleton,components/common/skeleton/FormSkeleton.vue,vue,"defineProps({   fields: { type: Number, default: 4 } })",,0,,aria-attributes-detected,none,none,none,none,,views/GiangVien/ClassDetailView.vue; views/PhuHuynh/Finance/PaymentView.vue; views/Student/AssignmentDetailView.vue; components/common/skeleton/index.js,4,true,USED,Imported by 4 files
components/common/skeleton/ListSkeleton.vue,common/skeleton,components/common/skeleton/ListSkeleton.vue,vue,"defineProps({   items: { type: Number, default: 3 } })",,0,,aria-attributes-detected,none,none,none,none,,views/GiangVien/LessonsView.vue; views/GiangVien/ProctoringView.vue; views/GiaoVu/Requests/WorkflowConfigView.vue; views/GiaoVu/Schedule/ConflictCheckView.vue; views/GiaoVu/Schedule/PendingSchedulesView.vue; views/GiaoVu/StaffNotificationsView.vue; views/Student/CurriculumView.vue; views/SuperAdmin/OrganizationsView.vue; components/common/skeleton/index.js,9,true,USED,Imported by 9 files
components/common/skeleton/PageHeaderSkeleton.vue,common/skeleton,components/common/skeleton/PageHeaderSkeleton.vue,vue,"defineProps({   actions: { type: Number, default: 2 } })",,0,,aria-attributes-detected,none,none,responsive-classes-detected,none,,components/common/skeleton/index.js,1,true,USED,Imported by 1 files
components/common/skeleton/SkeletonBlock.vue,common/skeleton,components/common/skeleton/SkeletonBlock.vue,vue,"defineProps({   width: { type: String, default: '100%' },   height: { type: String, default: '1rem' },   borderRadius: { type: String, default: 'var(--radius-md, 0.5rem)",,0,,aria-attributes-detected,none,none,none,none,,components/common/skeleton/FormSkeleton.vue; components/common/skeleton/ListSkeleton.vue; components/common/skeleton/PageHeaderSkeleton.vue; components/common/skeleton/SkeletonCard.vue; components/common/skeleton/SkeletonChart.vue; components/common/skeleton/SkeletonTable.vue; components/common/skeleton/index.js,7,true,USED,Imported by 7 files
components/common/skeleton/SkeletonCard.vue,common/skeleton,components/common/skeleton/SkeletonCard.vue,vue,,,0,,aria-attributes-detected,none,none,none,none,,components/common/skeleton/SkeletonDashboard.vue; views/GiangVien/ExamsView.vue; views/PhuHuynh/Finance/TuitionView.vue; components/common/skeleton/index.js,4,true,USED,Imported by 4 files
components/common/skeleton/SkeletonChart.vue,common/skeleton,components/common/skeleton/SkeletonChart.vue,vue,"defineProps({   bars: { type: Number, default: 8 }, })",,0,,aria-attributes-detected,none,none,none,none,,components/common/skeleton/SkeletonDashboard.vue; components/common/skeleton/index.js,2,true,USED,Imported by 2 files
components/common/skeleton/SkeletonDashboard.vue,common/skeleton,components/common/skeleton/SkeletonDashboard.vue,vue,"defineProps({   cards: { type: Number, default: 4 },   rows: { type: Number, default: 5 },   columns: { type: Number, default: 5 }, })",,0,,aria-attributes-detected,none,none,none,none,,views/BGH/Academic/AcademicReportsView.vue; views/BGH/Dashboard.vue; views/BGH/Evaluations/AIFeedbackAnalysisView.vue; views/BGH/Evaluations/EvalOverviewView.vue; views/BGH/Evaluations/TeacherEvalDetailsView.vue; views/BGH/Evaluations/TeacherRankingView.vue; views/GiangVien/ClassWorkspaceView.vue; views/GiaoVu/Dashboard.vue; views/GiaoVu/Schedule/StaffPublishedSchedulesView.vue; views/PhuHuynh/Children/OverviewView.vue; views/PhuHuynh/Dashboard.vue; views/SinhVien/Dashboard.vue; views/SinhVien/HocTap/KhoacHoc.vue; components/common/skeleton/index.js,14,true,USED,Imported by 14 files
components/common/skeleton/SkeletonTable.vue,common/skeleton,components/common/skeleton/SkeletonTable.vue,vue,"defineProps({   rows: { type: Number, default: 6 },   columns: { type: Number, default: 5 }, })",,0,,aria-attributes-detected,none,none,none,none,,components/common/skeleton/SkeletonDashboard.vue; views/BGH/AuditLogsView.vue; views/BGH/FacilitiesView.vue; views/BGH/ProfileView.vue; views/BGH/Schedule/ConflictListView.vue; views/BGH/UsersView.vue; views/GiangVien/AttendanceHistoryView.vue; views/GiangVien/ClassProgressView.vue; views/GiaoVu/Courses/CourseManagementView.vue; views/GiaoVu/Schedule/PublishedSchedulesView.vue; views/GiaoVu/Schedule/RoomManagementView.vue; views/GiaoVu/Schedule/ScheduleManagerView.vue; views/GiaoVu/Schedule/StaffPublishedSchedulesView.vue; views/GiaoVu/Schedule/TeacherAssignmentView.vue; views/PhuHuynh/Finance/InvoicesView.vue; views/PhuHuynh/Finance/TransactionsView.vue; views/SuperAdmin/ApprovalsHistoryView.vue; views/SuperAdmin/EvaluationsResultsView.vue; views/SuperAdmin/ExamPeriodsView.vue; views/SuperAdmin/LoginHistoryView.vue; views/SuperAdmin/SecurityAlertsView.vue; views/SuperAdmin/SystemModulesView.vue; components/common/skeleton/index.js,23,true,USED,Imported by 23 files
components/content-council/editor/AddContentToolbar.vue,content-council/editor,components/content-council/editor/AddContentToolbar.vue,vue,,,0,,none,none,none,responsive-classes-detected,none,,components/content-council/editor/LessonEditorCanvas.vue,1,true,USED,Imported by 1 files
components/content-council/editor/ChapterFormModal.vue,content-council/editor,components/content-council/editor/ChapterFormModal.vue,vue,,,0,,none,none,none,none,none,,pages/content-council/subjects/SubjectEditorPage.vue,1,true,USED,Imported by 1 files
